circuit,n,min_feasible_side,max_swept_side,steps_at_min_grid,plateau_steps,max_drop_pct,sensitive,elbow_e2,clipped_e2,nonrouted_e2,elbow_e5,clipped_e5,nonrouted_e5,elbow_e10,clipped_e10,nonrouted_e10
qft_n20,20,7,22,231,81,64.94,True,14,False,7.632,12,False,9.21,11,False,9.474
vqe_real_amp_n20,20,7,21,23,23,0.0,False,7,False,0.0,7,False,0.0,7,False,0.0
vqe_su2_n20,20,7,21,23,23,0.0,False,7,False,0.0,7,False,0.0,7,False,0.0
vqe_two_local_n20,20,7,22,337,94,72.11,True,13,False,12.982,13,False,12.982,12,False,15.263
wstate_n20,20,7,21,21,21,0.0,False,7,False,0.0,7,False,0.0,7,False,0.0
bwt_n21,21,8,22,116400,116400,0.0,False,8,False,0.572,8,False,0.572,8,False,0.572
ghz_state_n23,23,8,22,22,22,0.0,False,8,False,0.0,8,False,0.0,8,False,0.0
ising_n26,26,8,22,4,4,0.0,False,8,False,0.0,8,False,0.0,8,False,0.0
53qubits_155gate_57layers,27,8,23,23,23,0.0,False,8,False,2.439,8,False,2.439,8,False,2.439
multiplier_n45,27,6,22,36,36,0.0,False,6,False,0.0,6,False,0.0,6,False,0.0
wstate_n27,27,8,22,28,28,0.0,False,8,False,0.0,8,False,0.0,8,False,0.0
adder_n28,28,8,23,25,24,4.0,False,9,False,0.0,8,False,7.843,8,False,7.843
bwt_n37,28,9,24,34489,33600,2.58,False,10,False,0.108,9,False,1.741,9,False,1.741
ghz_n30,30,9,23,29,29,0.0,False,9,False,0.0,9,False,0.0,9,False,0.0
graphstate_n30,30,9,23,6,6,0.0,False,9,False,3.333,9,False,3.333,9,False,3.333
ising_n30,30,9,23,4,4,0.0,False,9,False,0.0,9,False,0.0,9,False,0.0
qaoa_n30,30,9,24,383,142,62.92,True,20,False,7.024,19,False,7.381,15,False,9.167
qft_n30,30,9,24,325,137,57.85,True,20,False,14.359,16,False,16.41,13,False,17.82
vqe_real_amp_n30,30,9,23,33,33,0.0,False,9,False,0.0,9,False,0.0,9,False,0.0
vqe_su2_n30,30,9,23,33,33,0.0,False,9,False,0.0,9,False,0.0,9,False,0.0
vqe_two_local_n30,30,9,24,489,168,65.64,True,24,True,21.073,20,False,25.594,17,False,27.586
wstate_n30,30,9,23,31,31,0.0,False,9,False,0.0,9,False,0.0,9,False,0.0
square_root_n45,32,9,23,571,570,0.18,False,9,False,0.016,9,False,0.016,9,False,0.016
53qubits_332gate_152layers,39,10,25,44,41,6.82,True,12,False,7.792,11,False,15.584,10,False,11.688
ghz_n40,40,10,24,39,39,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
graphstate_n40,40,10,24,4,4,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
ising_n40,40,10,24,4,4,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
multiplier_n40,40,11,27,17511,17329,1.04,False,11,False,1.748,11,False,1.748,11,False,1.748
qaoa_n40,40,10,25,740,214,71.08,True,22,False,11.483,20,False,13.714,17,False,15.289
qft_n40,40,10,26,611,191,68.74,True,21,False,16.271,16,False,17.119,15,False,18.559
vqe_real_amp_n40,40,10,24,43,43,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
vqe_su2_n40,40,10,24,43,43,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
vqe_two_local_n40,40,10,26,939,275,70.71,True,26,True,35.897,23,False,37.008,17,False,37.265
wstate_n40,40,10,24,41,41,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
bwt_n57,43,11,27,66464,65600,1.3,False,11,False,2.104,11,False,2.104,11,False,2.104
multiplier_n75,45,9,25,60,60,0.0,False,9,False,0.0,9,False,0.0,9,False,0.0
ghz_n50,50,10,26,49,49,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
graphstate_n50,50,11,26,5,5,0.0,False,11,False,2.0,11,False,2.0,11,False,2.0
ising_n50,50,10,26,4,4,0.0,False,10,False,0.0,10,False,0.0,10,False,0.0
qaoa_n50,50,12,27,805,303,62.36,True,25,False,17.845,23,False,18.825,19,False,22.36
qft_n50,50,11,27,834,247,70.38,True,22,False,15.949,19,False,18.354,16,False,19.177
randomcircuit_n50,50,12,29,5695,1377,75.82,True,25,False,6.338,23,False,7.598,18,False,10.104
synth_n50_d020_mix000_t030_hf000_hm001_r2_s0,50,11,28,360,64,82.22,True,22,False,6.286,21,False,10.0,20,False,10.286
synth_n50_d020_mix000_t030_hf000_hm001_r2_s1,50,12,28,233,60,74.25,True,22,False,9.0,21,False,7.143,20,False,10.714
synth_n50_d020_mix050_t030_hf000_hm001_r2_s0,50,11,28,335,71,78.81,True,23,False,9.0,20,False,9.571,20,False,9.571
